case_id,TSM_g_m3,Chl_mg_m3,aCDOM440_m_inv
G0734,3.06240,0.83970,0.054226
G0735,0.61140,0.10356,0.021843
G0736,0.33997,0.30273,0.027572
G0737,0.77085,1.10206,0.023419
G0738,0.40800,0.20167,0.032836
G0739,0.67174,0.16071,0.014599
G0740,2.88447,1.07479,0.060081
G0741,2.35429,0.53274,0.033217
G0742,4.04359,1.72237,0.062104
G0743,4.42860,2.10577,0.033319
G0744,18.87775,4.35515,0.088758
G0745,2.29423,1.38127,0.025834
G0746,0.43709,0.44957,0.024694
G0747,5.82500,3.02949,0.072480
G0748,0.83608,0.33454,0.018541
G0749,0.55893,0.76870,0.018259
G0750,7.17100,1.48782,0.022519
G0751,6.76816,1.48540,0.085566
G0752,3.06699,1.47937,0.033295
G0753,1.07935,0.30147,0.016720
G0754,1.85451,1.70845,0.022865
G0755,2.11452,0.37500,0.024833
G0756,1.25665,1.02263,0.038508
G0757,1.10374,0.61269,0.048350
G0758,0.36342,0.33433,0.018169
G0759,0.11501,0.19633,0.014205
G0760,1.23528,0.70328,0.020539
G0761,5.35005,2.90219,0.049158
G0762,3.97733,1.92038,0.026962
G0763,0.43335,0.36056,0.020353
G0764,1.43539,0.45234,0.031397
G0765,1.41623,1.09689,0.021003
G0766,0.55728,0.45812,0.036232
G0767,0.50671,0.39746,0.020008
G0768,1.17920,0.45225,0.025662
G0769,3.96635,1.82397,0.066078
G0770,3.00922,0.47507,0.027391
G0771,2.28789,1.32676,0.026314
G0772,8.05766,1.32983,0.045825
G0773,1.31505,0.33592,0.028040
G0774,5.23073,2.07760,0.047053
G0775,4.03074,0.89849,0.034344
G0776,3.67832,0.76993,0.052833
G0777,0.63044,0.32676,0.025134
G0778,1.52557,0.93237,0.022918
G0779,4.32685,1.38436,0.041136
G0780,6.43705,3.51777,0.072938
G0781,0.53608,0.26940,0.024196
G0782,0.41261,0.46755,0.016759
G0783,5.66542,3.13539,0.076873
G0784,9.27439,2.56044,0.071321
G0785,0.63270,0.62316,0.019226
G0786,10.05478,1.76252,0.069034
G0787,1.09476,0.53351,0.027589
G0788,0.38119,0.36431,0.020505
G0789,0.71637,0.88392,0.018786
G0790,0.39804,1.12636,0.020659
G0791,2.04395,0.40272,0.026374
G0792,6.23047,2.25593,0.056374
G0793,1.29405,0.90662,0.027825
G0794,2.34204,0.53448,0.036276
G0795,1.84530,0.79816,0.015861
G0796,0.95100,0.29813,0.023094
G0797,3.84274,1.39006,0.057200
G0798,4.32660,2.07873,0.033030
G0799,1.70808,1.37519,0.027165
G0800,0.54298,0.43355,0.015581
G0801,0.34493,0.12946,0.017488
G0802,0.42170,0.37004,0.017162
G0803,0.72026,0.92542,0.035877
G0804,1.39176,0.64426,0.037481
G0805,1.57143,0.62601,0.050551
G0806,2.11506,1.46350,0.029265
G0807,1.25216,0.32275,0.012482
G0808,4.70214,0.89116,0.066396
G0809,2.85805,0.84997,0.087759
G0810,4.36518,1.25108,0.028892
G0811,0.28072,0.41451,0.012539
G0812,12.29193,1.87517,0.092972
G0813,2.30048,0.80441,0.047791
G0814,4.47349,3.55804,0.073042
G0815,1.36843,1.58384,0.043687
G0816,10.44953,3.31815,0.085828
G0817,0.94865,0.19854,0.020587
G0818,8.10802,2.81858,0.051473
G0819,6.89053,1.13495,0.023337
G0820,8.75723,3.07079,0.057465
G0821,3.81105,1.10114,0.029500
G0822,1.06991,0.48632,0.014804
G0823,8.57690,2.46391,0.089359
G0824,0.41118,0.19212,0.013010
G0825,2.31108,1.70180,0.041235
G0826,11.32532,3.12121,0.073882
G0827,1.13697,0.77667,0.030940
G0828,1.22751,1.10100,0.021560
G0829,1.03420,1.02658,0.061847
G0830,1.24684,0.33180,0.016412
G0831,1.83896,0.76085,0.041231
G0832,0.95129,0.44598,0.025080
G0833,0.50655,0.43840,0.023863
G0834,9.52915,1.16337,0.037380
G0835,1.11203,0.59646,0.038328
G0836,1.90199,0.38086,0.044451
G0837,4.70048,0.87909,0.024089
G0838,1.65194,1.14860,0.037229
G0839,1.53100,1.24425,0.017175
G0840,3.19836,2.24925,0.072977
G0841,0.94850,0.36594,0.025413
G0842,0.93653,0.47746,0.022264
G0843,1.92071,0.75818,0.031720
G0844,5.77772,1.36132,0.049133
G0845,0.56331,0.55885,0.030520
G0846,1.32181,1.15976,0.036614
G0847,1.29801,0.75838,0.034693
G0848,2.31323,1.56696,0.030735
G0849,5.52436,1.79649,0.046717
G0850,0.84674,0.60096,0.019485
G0851,13.12435,4.02934,0.097305
G0852,1.40148,0.56706,0.032805
G0853,0.95568,0.94984,0.037026
G0854,0.14224,0.11018,0.017994
G0855,2.34278,2.09122,0.039990
G0856,0.58048,0.78780,0.019273
G0857,1.90304,0.91340,0.025551
G0858,0.79868,0.48517,0.020423
G0859,0.21829,0.17422,0.019111
G0860,0.78849,0.32252,0.019981
G0861,1.43017,0.42747,0.038541
G0862,1.40960,0.59138,0.025660
G0863,4.77926,1.93203,0.047052
G0864,18.18986,3.01874,0.060973
G0865,1.03267,0.69481,0.028090
G0866,0.85243,0.29857,0.024519
G0867,0.80392,0.46887,0.028499
G0868,3.23338,1.57736,0.076523
G0869,2.47302,1.76205,0.029023
G0870,1.11009,0.71430,0.033190
G0871,1.48844,1.10480,0.022556
G0872,0.16422,0.18069,0.024595
G0873,0.38175,0.12893,0.013306
G0874,2.40547,1.63362,0.038055
G0875,5.62097,1.47972,0.041179
G0876,1.62957,1.29208,0.051373
G0877,0.23589,0.19645,0.012124
G0878,1.58531,0.76415,0.029894
G0879,2.43522,1.32883,0.046838
G0880,0.35147,0.24767,0.038874
G0881,3.75600,0.91551,0.043881
G0882,0.56003,0.39343,0.017789
G0883,4.20183,1.13395,0.047414
G0884,1.71237,0.78354,0.019809
G0885,0.72044,1.16064,0.038516
G0886,15.80097,3.37149,0.081538
G0887,1.38252,0.91437,0.038140
G0888,0.65050,0.38771,0.024689
G0889,0.37249,0.30124,0.025382
G0890,4.65729,2.99893,0.041225
G0891,0.88579,0.59000,0.040801
G0892,1.24328,0.76652,0.035779
G0893,1.59841,0.58014,0.022294
G0894,0.79272,0.21647,0.019468
G0895,3.73984,2.71277,0.039044
G0896,1.87958,0.77208,0.042968
G0897,0.87814,0.47113,0.039885
G0898,0.52157,0.14959,0.020631
G0899,2.85289,0.84679,0.047568
G0900,5.66258,0.55992,0.019930
G0901,1.63493,0.28504,0.024429
G0902,4.26579,1.74409,0.051484
G0903,0.61783,0.32474,0.015966
G0904,1.71603,0.22748,0.023661
G0905,1.02193,0.82811,0.026208
G0906,1.54083,1.27001,0.033532
G0907,5.43874,1.05619,0.044428
G0908,0.48001,0.31906,0.030858
G0909,0.63434,0.30396,0.026742
G0910,1.68956,0.52779,0.039591
G0911,1.05754,1.15484,0.044574
G0912,0.17055,0.17793,0.017219
G0913,8.08927,1.33249,0.049444
G0914,0.26443,0.23064,0.013641
G0915,3.92811,1.52067,0.041475
G0916,0.33123,0.61941,0.020430
G0917,0.33649,0.17696,0.011804
G0918,0.30789,0.18755,0.014621
G0919,4.46469,1.18082,0.045524
G0920,0.47573,0.48196,0.019142
G0921,7.73758,1.55153,0.039196
G0922,7.44709,1.92524,0.027161
G0923,4.39284,0.60391,0.037456
G0924,0.79878,0.53438,0.017767
G0925,0.23765,0.19338,0.025280
G0926,0.78105,0.57748,0.017026
G0927,0.77948,0.44413,0.035720
G0928,7.90434,1.97721,0.082303
G0929,3.52205,1.22670,0.032629
G0930,1.01845,0.64350,0.040671
G0931,0.14034,0.21519,0.016776
G0932,0.62997,0.69089,0.035441
G0933,6.17850,1.28161,0.037503
G0934,0.35080,0.73231,0.033695
G0935,0.66514,0.47953,0.019687
G0936,1.66627,0.35793,0.024289
G0937,0.21383,0.14643,0.018171
G0938,0.28623,0.36385,0.010931
G0939,1.73767,1.19456,0.058783
G0940,0.78704,0.84927,0.024747
G0941,0.88244,0.24617,0.015208
G0942,8.45062,0.99457,0.030120
G0943,1.58773,0.30454,0.046009
G0944,0.50713,0.13491,0.014238
G0945,4.82983,1.92789,0.027184
G0946,0.75662,0.58533,0.026116
G0947,1.36908,0.59454,0.052368
G0948,1.29874,0.95087,0.023812
G0949,4.80428,0.49067,0.060757
G0950,0.35353,0.94330,0.044081
G0951,1.40782,0.62034,0.035485
G0952,2.43648,4.28354,0.041642
G0953,3.98738,0.46540,0.077565
G0954,1.81188,0.63944,0.049355
G0955,0.35930,0.18843,0.026853
G0956,0.77421,0.25522,0.023854
G0957,0.58725,0.43916,0.016776
G0958,0.83123,0.51478,0.024053
G0959,0.29984,0.21357,0.010876
G0960,0.81481,0.70917,0.038040
G0961,6.72847,2.66145,0.048880
G0962,0.12062,0.11627,0.012923
G0963,0.41520,0.48089,0.017339
G0964,4.83530,1.47758,0.037049
G0965,0.86944,0.32981,0.035795
G0966,1.88280,0.65265,0.026372
G0967,1.34119,0.36834,0.038776
G0968,2.73613,0.89508,0.031638
G0969,0.88368,0.38690,0.021296
G0970,0.16347,0.57482,0.019378
G0971,1.32736,0.75220,0.026187
G0972,0.74655,0.99697,0.039043
G0973,0.83823,0.63064,0.014865
G0974,1.17295,0.14649,0.017864
G0975,1.30648,0.51354,0.029760
G0976,8.61896,2.24241,0.081184
G0977,2.33844,1.13284,0.028926
G0978,1.37813,0.17278,0.033768
G0979,1.23640,0.44335,0.024356
G0980,0.46169,0.65088,0.013493
G0981,1.08258,0.69801,0.032637
G0982,7.78689,1.88595,0.070812
G0983,1.15031,0.61577,0.043175
G0984,1.21145,0.43356,0.065086
G0985,1.89424,1.37970,0.032147
G0986,4.52212,0.69169,0.032128
G0987,10.38816,3.75440,0.088576
G0988,3.64200,1.19488,0.016688
G0989,0.33037,0.22374,0.012161
G0990,7.99587,2.41057,0.051505
G0991,0.51483,0.53328,0.034722
G0992,6.15497,1.28279,0.032594
G0993,3.74087,2.52806,0.043952
G0994,16.43663,4.64389,0.092195
G0995,0.82930,0.46276,0.030788
G0996,0.15790,0.13517,0.010153
G0997,1.12312,0.59249,0.020070
G0998,3.21322,0.86227,0.041283
G0999,1.20412,0.88360,0.022758
G1000,5.64972,1.37471,0.055048
